,Software,All_items,Search_by_fields
1,DMAOG,191.53,45.89
2,DMAOG,202.05,35.91
3,DMAOG,300.21,40.53
4,DMAOG,299.36,36.67
5,DMAOG,319.83,37.86
6,DMAOG,284.62,34.77
7,DMAOG,302,41.53
8,DMAOG,318.69,38.35
9,DMAOG,311.13,38.27
10,DMAOG,309.73,37.26
11,DMAOG,304.53,41.51
12,DMAOG,307.36,34.98
13,DMAOG,308.84,39.46
14,DMAOG,285.39,37.76
15,DMAOG,244.56,40
16,DMAOG,281.76,39.69
17,DMAOG,294.28,37.53
18,DMAOG,316.8,44.54
19,DMAOG,301.75,43.61
20,DMAOG,293.99,44.92
21,DMAOG,292.47,42.73
22,DMAOG,288.45,45.85
23,DMAOG,300.48,43.24
24,DMAOG,293.54,43.14
25,DMAOG,297.69,42.41
26,DMAOG,279.25,42
27,DMAOG,212.87,35.79
28,DMAOG,270.64,39.07
29,DMAOG,308.52,41.92
30,DMAOG,268.91,42.62
31,RDF4J-Beans,190184,197449
32,RDF4J-Beans,185939,126015
33,RDF4J-Beans,190021,102906
34,RDF4J-Beans,157883,102907
35,RDF4J-Beans,107816,102228
36,RDF4J-Beans,100433,97661
37,RDF4J-Beans,94618,95807
38,RDF4J-Beans,94551,102293
39,RDF4J-Beans,113557,104951
40,RDF4J-Beans,96818,103913
41,RDF4J-Beans,97566,100573
42,RDF4J-Beans,97262,103365
43,RDF4J-Beans,94509,100642
44,RDF4J-Beans,94660,96485
45,RDF4J-Beans,94683,99228
46,RDF4J-Beans,104504,103522
47,RDF4J-Beans,107973,103031
48,RDF4J-Beans,99653,101546
49,RDF4J-Beans,94860,179579
50,RDF4J-Beans,110331,190375
51,RDF4J-Beans,126051,192440
52,RDF4J-Beans,100523,196168
53,RDF4J-Beans,108056,189681
54,RDF4J-Beans,102003,146343
55,RDF4J-Beans,187256,100137
56,RDF4J-Beans,186261,98614
57,RDF4J-Beans,191510,103178
58,RDF4J-Beans,192755,103662
59,RDF4J-Beans,188818,108828
60,RDF4J-Beans,196460,106830
61,Walder,1364.1,7.454
62,Walder,1341.3,6.069
63,Walder,1310.8,5.437
64,Walder,1288.2,5.423
65,Walder,1289.3,5.689
66,Walder,1289,7.347
67,Walder,1272.1,8.228
68,Walder,1295.8,8.001
69,Walder,1294.9,8.026
70,Walder,1282.7,7.944
71,Walder,1314.9,7.904
72,Walder,1259.6,8.118
73,Walder,1241,7.883
74,Walder,1264.4,8.175
75,Walder,1259,8.339
76,Walder,1329.1,8.275
77,Walder,1274,8.298
78,Walder,1295.5,8.956
79,Walder,1281.3,8.289
80,Walder,1301.6,8.329
81,Walder,1409.4,8.11
82,Walder,1294.9,8.517
83,Walder,1276.6,8.424
84,Walder,1261.6,8.51
85,Walder,1280.8,8.482
86,Walder,1281,8.847
87,Walder,1260.7,8.158
88,Walder,1236.9,8.652
89,Walder,1251.3,8.956
90,Walder,1256.6,8.718
91,LDflex,454724,85405
92,LDflex,447694,80373
93,LDflex,367957,71526
94,LDflex,475638,81599
95,LDflex,491882,78584
96,LDflex,456532,78560
97,LDflex,270423,74029
98,LDflex,257988,75128
99,LDflex,254766,78762
100,LDflex,259544,78018
101,LDflex,256665,78452
102,LDflex,258985,79887
103,LDflex,297808,80761
104,LDflex,344496,78396
105,LDflex,468067,81233
106,LDflex,464795,74037
107,LDflex,453070,82169
108,LDflex,473191,91023
109,LDflex,451403,71486
110,LDflex,297463,76203
111,LDflex,256584,76784
112,LDflex,250073,80285
113,LDflex,238677,78436
114,LDflex,238486,75911
115,LDflex,237357,78907
116,LDflex,238073,76147
117,LDflex,237190,79160
118,LDflex,238239,80220
119,LDflex,237714,76167
120,LDflex,237692,80004
121,LDkit,157.03,6.2
122,LDkit,148.73,5.741
123,LDkit,165.05,6.383
124,LDkit,146.48,6.758
125,LDkit,152.09,6.028
126,LDkit,148.91,5.029
127,LDkit,169.38,5.233
128,LDkit,208.85,5.632
129,LDkit,197.95,6.707
130,LDkit,175.25,6.791
131,LDkit,162.01,6.839
132,LDkit,147.05,6.603
133,LDkit,146.03,6.543
134,LDkit,147.19,6.527
135,LDkit,147.12,7.027
136,LDkit,149.45,6.739
137,LDkit,157.61,6.951
138,LDkit,158.64,6.721
139,LDkit,159.21,6.996
140,LDkit,156.13,6.906
141,LDkit,159.28,6.89
142,LDkit,157.41,6.569
143,LDkit,157.53,6.504
144,LDkit,158.55,6.895
145,LDkit,161.14,6.809
146,LDkit,162.46,6.646
147,LDkit,161.88,6.638
148,LDkit,162.68,6.863
149,LDkit,156.39,6.577
150,LDkit,155.68,7.061
151,LDO,8517.6,9673.3
152,LDO,13684.1,8733.8
153,LDO,14053.8,8316.4
154,LDO,15392.6,8616.4
155,LDO,13461.2,13900.7
156,LDO,13440.4,14281.6
157,LDO,14617.8,13648.9
158,LDO,9266.8,7398.8
159,LDO,8760.8,8756
160,LDO,8466.7,8567.3
161,LDO,9056.8,7965.6
162,LDO,8199.5,8714.1
163,LDO,8863.6,10371
164,LDO,9380.7,9692
165,LDO,9093.9,9346.6
166,LDO,9387.4,11405.4
167,LDO,7973.1,14454.9
168,LDO,8811.3,14132.9
169,LDO,9633.9,12224.5
170,LDO,15368,7487.6
171,LDO,15519.1,7925.3
172,LDO,14863.4,9550.3
173,LDO,9408.2,14058.1
174,LDO,8564.6,11942.4
175,LDO,8612,13345.8
176,LDO,8576.2,8620.5
177,LDO,11404.9,14042
178,LDO,8713.1,13941
179,LDO,8770.8,14063.8
180,LDO,10867.9,10491.6
